clique_size,model_type,strength
5,tf,0.004330494152922419
5,non_gene,0.0017692323445200897
5,gene,0.0008484052630994027
10,tf,0.0018950172852382717
10,non_gene,0.0008572716169906659
10,gene,0.0021582512625587533
15,tf,0.0011751212939651874
15,non_gene,0.0005901372805638878
15,gene,0.0013196832780066792
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.007105319187725473
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.002273423684949606
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0014542883514671889
5,tf,0.003039706997417428
5,non_gene,0.001162536967800584
5,gene,0.0012218806463246221
10,tf,0.002480642197210861
10,non_gene,0.0014245881006774248
10,gene,0.0011598412200186292
15,tf,0.0014323601894452984
15,non_gene,0.0020523015202428036
15,gene,0.0008969007116610772
5,tf,0.008718503822134417
5,non_gene,0.001987850264101497
5,gene,0.004011267549227238
10,tf,0.0024176918017969158
10,non_gene,0.0019152030051627865
10,gene,0.001725626738410033
15,tf,0.0015732987908723779
15,non_gene,0.0015150245982906636
15,gene,0.002230108996155068
5,tf,0.008718503822134417
5,non_gene,0.0015266635451038596
5,gene,0.001162536967800584
10,tf,0.0024176918017969158
10,non_gene,0.0009621817142457268
10,gene,0.0014245881006774248
15,tf,0.0015732987908723779
15,non_gene,0.0007855593024844036
15,gene,0.0020523015202428036
5,tf,0.003184656690531724
5,non_gene,0.002671703893996857
5,gene,0.0027586001782481735
10,tf,0.003958282449201763
10,non_gene,0.0010558471326858763
10,gene,0.0018766261792098767
15,tf,0.0020537324643244725
15,non_gene,0.0010795743518000128
15,gene,0.001149719540493122
5,tf,0.0016377315586074519
5,non_gene,0.0034954933101368226
5,gene,0.004056278534481083
10,tf,0.001782217828136158
10,non_gene,0.0014732878125112857
10,gene,0.0024125002654930222
15,tf,0.001313209383266646
15,non_gene,0.001084357666394588
15,gene,0.0018931278700205056
5,tf,0.009069517002965485
5,non_gene,0.001162536967800584
5,gene,0.006570009069793508
10,tf,0.0025770272412919014
