clique_size,model_type,strength
5,tf,0.00024901601978700186
5,non_gene,0.0
5,gene,0.00014304271658245393
5,all,0.0004378151331312782
10,tf,7.015715217634409e-05
10,non_gene,0.0
10,gene,5.628653070546287e-05
10,all,0.00014108289528240984
5,tf,0.0001331336070272679
5,non_gene,0.00039501512456598846
5,gene,0.0005732680631250427
5,all,4.3494187474076764e-05
10,tf,5.147403049592319e-05
10,non_gene,0.00011135173686866745
10,gene,0.00015374881962978577
10,all,3.9656128942881615e-05
5,tf,7.910809847344774e-05
5,non_gene,0.0
5,gene,4.5567632426648654e-05
5,all,9.522332020650383e-05
10,tf,4.729086213743823e-05
10,non_gene,0.0
10,gene,4.333562529465348e-05
10,all,6.216750761912341e-05
5,tf,0.0007292787520382522
5,non_gene,0.0004953040763564984
5,gene,0.0
5,all,0.0003278411547331754
10,tf,0.00020666736137033628
10,non_gene,0.00014595935554328828
10,gene,0.0
10,all,8.756756316906413e-05
5,tf,0.0006534797711783562
5,non_gene,0.00011902501990320156
5,gene,9.096011946300528e-05
5,all,0.000568012626726979
10,tf,0.00018783273249069475
10,non_gene,5.4542830163530245e-05
10,gene,3.8458273938869496e-05
10,all,0.00016482513759765604
5,tf,0.00010069547563839863
5,non_gene,0.0
5,gene,0.0034590957511684466
5,all,0.0005142428678971597
10,tf,5.2336591664310205e-05
10,non_gene,0.0
10,gene,0.0008135754390028934
10,all,0.0001440679644032028
5,tf,8.979199100196371e-05
5,non_gene,0.0002999531435567197
5,gene,0.0005682367349479797
5,all,0.0005780537553197261
10,tf,8.427487466781849e-05
10,non_gene,8.919418440940241e-05
10,gene,0.00014117578249068125
10,all,0.00016004583535773558
5,tf,0.0001736839080292629
5,non_gene,0.00041316703593432554
5,gene,5.720237546709979e-05
5,all,0.00049829444864943
10,tf,7.522433980687582e-05
10,non_gene,0.00011342608525422254
10,gene,3.0023540115024514e-05
10,all,0.00013181730822372877
5,tf,0.00016002104591032352
5,non_gene,5.1108898003368497e-05
5,gene,4.9720025451894056e-05
5,all,0.0004223644729139849
10,tf,5.090548926114961e-05
10,non_gene,3.492467306207361e-05
10,gene,3.805757423815394e-05
10,all,0.00011361684952775492
5,tf,0.00036496960093011126
5,non_gene,0.00015038730387131996
5,gene,0.0007500408710785057
5,all,0.0
10,tf,0.00013796717549559274
10,non_gene,7.56462084222215e-05
10,gene,0.00018149661685860544
10,all,0.0
5,tf,0.0007622652548988638
5,non_gene,4.89466099820412e-05
5,gene,0.0
5,all,0.00021748948585859507
10,tf,0.00018843323983569498
10,non_gene,4.6445613153228365e-05
10,gene,0.0
10,all,8.89567536526827e-05
5,tf,0.00045836462365320157
5,non_gene,0.0003076508359225056
5,gene,0.00017886905579184316
5,all,0.00018673444540369578
10,tf,0.00013714478713441032
10,non_gene,0.00010031926633299717
10,gene,7.599018431924851e-05
10,all,8.581879803419806e-05
5,tf,3.818409712114882e-05
5,non_gene,0.00025147524020429127
5,gene,4.7100238322187254e-05
5,all,0.0001649133988894554
10,tf,4.3672403993977714e-05
10,non_gene,7.533664942192083e-05
10,gene,2.9406084445812555e-05
10,all,5.929841227347391e-05
5,tf,0.0001286291818794854
5,non_gene,0.0002285828509043296
5,gene,0.00017056090672146486
5,all,0.0001485264612232742
10,tf,5.525381391647658e-05
10,non_gene,7.18098199931243e-05
10,gene,5.885564283092489e-05
10,all,4.752695095417002e-05
5,tf,0.00010103862007305325
5,non_gene,5.290016314695276e-05
5,gene,3.913507652633798e-05
5,all,0.0001602217758424852
10,tf,8.848118874575604e-05
10,non_gene,4.541985177205659e-05
10,gene,4.041279279707062e-05
10,all,9.166102306190045e-05
5,tf,0.00010838480074869666
5,non_gene,0.0
5,gene,0.0006219668912115289
5,all,7.749108362564109e-05
10,tf,7.897576599770077e-05
10,non_gene,0.0
10,gene,0.0001610620958658825
10,all,4.559305518852067e-05
5,tf,4.1082170587707904e-05
5,non_gene,3.886863747514878e-05
5,gene,2.2326524236958297e-05
5,all,3.4338699088992976e-05
10,tf,4.493022107622709e-05
10,non_gene,3.343661864238294e-05
10,gene,2.70792744334085e-05
10,all,2.294509670212175e-05
5,tf,0.00024088321136306648
5,non_gene,0.0008038772491617179
5,gene,0.0002302496404893382
5,all,0.0007253454486666058
10,tf,7.29285295442096e-05
10,non_gene,0.000309014484956415
10,gene,6.86594231927266e-05
10,all,0.0005190097355736207
5,tf,0.0006811670092359491
5,non_gene,0.0
5,gene,2.867543911480339e-05
5,all,0.0
10,tf,0.0002731780562273891
10,non_gene,0.0
10,gene,2.135519587747076e-05
10,all,0.0
5,tf,0.00039407767965384064
5,non_gene,0.0003163131894253274
5,gene,0.0005047752061467589
5,all,0.0012895232504355604
10,tf,0.00022431886353424424
10,non_gene,8.846611693945152e-05
10,gene,0.00012452312815594286
10,all,0.00044801961674504004
5,tf,0.00013147123973931426
5,non_gene,4.380464811437757e-05
5,gene,0.0001380674503452683
5,all,0.0003545683176112626
10,tf,6.487961013346667e-05
10,non_gene,3.317819947457695e-05
10,gene,4.878506980601176e-05
10,all,0.0001694094457064202
5,tf,0.0007449863689415511
5,non_gene,3.317823676238583e-05
5,gene,5.1546848692943137e-05
5,all,0.0
10,tf,0.00018805678696407635
10,non_gene,3.166645948861581e-05
10,gene,3.7578216358329e-05
10,all,0.0
5,tf,0.00023263544250115754
5,non_gene,5.243543636546785e-05
5,gene,0.00013155464013250837
5,all,5.593639056962774e-05
10,tf,0.0001764793830779474
10,non_gene,3.909962519063213e-05
10,gene,5.409312790961315e-05
10,all,3.464056316607568e-05
5,tf,0.0007251642827504309
5,non_gene,0.00013532874608039315
5,gene,0.00011107133233387043
5,all,0.0005406289617991342
10,tf,0.00027825395962700634
10,non_gene,4.622537844752435e-05
10,gene,4.134419944873283e-05
10,all,0.00013663939794808115
5,tf,0.00012375994718366576
5,non_gene,0.00020627015008214188
5,gene,0.00017950494137700178
5,all,0.00013550005046362036
10,tf,5.8424705525188275e-05
10,non_gene,6.609925174448681e-05
10,gene,9.768122978089314e-05
10,all,4.814518434313724e-05
5,tf,0.00012167372098290498
5,non_gene,0.006847807108652487
5,gene,0.00015299848911525982
5,all,0.0005816368689779943
10,tf,6.032157719650946e-05
10,non_gene,0.0015436233361539715
10,gene,6.656799881162765e-05
10,all,0.00015226230388261098
5,tf,0.00034881090953125973
5,non_gene,0.0007157110238981987
5,gene,6.851942498739886e-05
5,all,0.0
10,tf,0.00014603323867286443
10,non_gene,0.00021486805764133396
10,gene,3.281692949450123e-05
10,all,0.0
5,tf,0.00038594270346002256
5,non_gene,8.095866352049924e-05
