alpha,size,pval,fold
0.05,1,1.0,
0.05,2,0.19880119880119881,1.511171767799999
0.05,3,0.3206793206793207,1.2350085629151633
0.05,4,0.1258741258741259,1.5682905448028168
0.05,5,0.09290709290709291,1.658930983755736
0.05,6,0.05194805194805195,1.7152241209887458
0.05,7,0.15584415584415584,1.3555619095149873
0.05,8,0.2597402597402597,1.220464497941297
0.05,9,0.33466533466533466,1.1283618926909649
0.05,10,0.37362637362637363,1.1067241996191544
0.05,11,0.23576423576423577,1.2187656588316078
0.05,12,0.31368631368631367,1.1428206934037466
0.05,13,0.2547452547452547,1.1832036066011702
0.05,14,0.4015984015984016,1.0643062168983466
0.05,15,0.36063936063936064,1.0920039030317648
0.05,16,0.3966033966033966,1.0606655492188881
0.05,17,0.5804195804195804,0.9614353542071208
0.05,18,0.5424575424575424,0.9861411928129278
0.05,19,0.3676323676323676,1.0586590779079372
0.05,20,0.2897102897102897,1.1240183167622035
0.1,1,1.0,
0.1,2,0.12987012987012986,1.5084445298169242
0.1,3,0.3946053946053946,1.0856527982285933
0.1,4,0.11788211788211789,1.4337468845868981
0.1,5,0.056943056943056944,1.5509378043567248
0.1,6,0.07092907092907093,1.519016558970418
0.1,7,0.07392607392607392,1.4872803319048562
0.1,8,0.016983016983016984,1.7090170349233142
0.1,9,0.005994005994005994,1.8394567084288906
0.1,10,0.004995004995004995,1.878531641487079
0.1,11,0.00999000999000999,1.6958735584832498
0.1,12,0.01998001998001998,1.570522150793302
0.1,13,0.022977022977022976,1.5280591022059493
0.1,14,0.012987012987012988,1.570268732383458
0.1,15,0.015984015984015984,1.513524857176727
0.1,16,0.022977022977022976,1.4509776069046902
0.1,17,0.04395604395604396,1.364911540560251
0.1,18,0.04795204795204795,1.3391737654186806
0.1,19,0.06593406593406594,1.3069815974754917
0.1,20,0.06993006993006994,1.2743797485064496
0.25,1,1.0,
0.25,2,0.996003996003996,0.2459426634970717
0.25,3,0.977022977022977,0.4907482401093293
0.25,4,0.6513486513486514,0.9055181156832499
0.25,5,0.7012987012987013,0.8595221007372554
0.25,6,0.7712287712287712,0.8371010762536764
0.25,7,0.6923076923076923,0.8740334883342163
0.25,8,0.5854145854145855,0.9533640575782268
0.25,9,0.4305694305694306,1.033362162944651
0.25,10,0.5474525474525475,0.9771112846483198
0.25,11,0.2967032967032967,1.1104129673564413
0.25,12,0.4965034965034965,1.0035397889333553
0.25,13,0.4805194805194805,1.009400698791557
0.25,14,0.5914085914085914,0.960842360476126
0.25,15,0.6153846153846154,0.9483176027601892
0.25,16,0.5134865134865135,0.9928956527153886
0.25,17,0.6443556443556444,0.9343682970230698
0.25,18,0.6033966033966034,0.950940711650292
0.25,19,0.6943056943056943,0.9216690576726806
0.25,20,0.7162837162837162,0.9123111507969232
0.5,1,1.0,
0.5,2,0.8141858141858141,0.7026599868077029
0.5,3,0.8201798201798202,0.7649947957211494
0.5,4,0.9140859140859141,0.6792192996408694
0.5,5,0.6543456543456544,0.8893801059793781
0.5,6,0.6673326673326674,0.8973915285363226
0.5,7,0.6373626373626373,0.9166177639841101
0.5,8,0.5744255744255744,0.9650065974851884
0.5,9,0.4925074925074925,1.004321580479088
0.5,10,0.5394605394605395,0.9790147096949193
0.5,11,0.7882117882117882,0.8632563138898168
0.5,12,0.8041958041958042,0.8546349185654979
0.5,13,0.8131868131868132,0.8458096146663572
0.5,14,0.8531468531468531,0.8235805918934523
0.5,15,0.8401598401598401,0.8373745008548008
0.5,16,0.8231768231768232,0.8526160512017665
0.5,17,0.8181818181818182,0.8613554756637243
0.5,18,0.7262737262737263,0.904210367853728
0.5,19,0.6483516483516484,0.9434450778375529
0.5,20,0.5304695304695305,0.9899562486999801
