alpha,k,pval,fold_change
0.05,3,0.5552889422115577,0.3705668145783706
0.05,4,0.5746850629874025,0.4262243147164638
0.05,5,0.6340731853629274,0.40259065398936034
0.05,6,0.7660467906418716,0.3334407112177878
0.05,7,0.8288342331533693,0.33131700935961594
0.05,8,0.8658268346330734,0.33354925745095615
0.05,9,0.852629474105179,0.40720158484891067
0.05,10,0.7168566286742651,0.6172032774514955
0.05,11,0.7420515896820636,0.6175221162294049
0.05,12,0.7804439112177565,0.6062869144630506
0.05,13,0.8136372725454909,0.5921357919859561
0.05,14,0.7516496700659868,0.691743419386753
0.05,15,0.743251349730054,0.7187706878547183
0.05,16,0.73125374925015,0.7478786144974751
0.05,17,0.7198560287942412,0.7707795831412814
0.05,18,0.7514497100579884,0.7493113982753741
0.05,19,0.7056588682263547,0.8066424657338507
0.05,20,0.6604679064187162,0.8593143573569635
0.05,21,0.6504699060187963,0.871802515382386
0.05,22,0.652869426114777,0.8718014302130229
0.05,23,0.626874625074985,0.8957796829484334
0.05,24,0.6172765446910617,0.9077769288221106
0.05,25,0.5846830633873226,0.9370504873476265
0.05,26,0.5862827434513097,0.9329845091829978
0.05,27,0.6294741051789642,0.9076222454471594
0.05,28,0.6092781443711258,0.9237730014094512
0.05,29,0.6206758648270346,0.915909482173573
0.05,30,0.6590681863627275,0.8959231362937901
0.05,31,0.6764647070585883,0.8867812396189437
0.05,32,0.673865226954609,0.8906273915188364
0.05,33,0.6596680663867227,0.9028947432503954
0.05,34,0.6366726654669066,0.9148346309307939
0.05,35,0.6212757448510298,0.9317405837752539
0.05,36,0.5764847030593881,0.9591257866857046
0.05,37,0.5934813037392521,0.9481776142988132
0.05,38,0.5404919016196761,0.9755609618145938
0.05,39,0.5340931813637273,0.980412571877477
0.05,40,0.5432913417316537,0.9762246413366593
0.05,41,0.5262947410517896,0.985739853943679
0.05,42,0.503499300139972,0.9982220900303965
0.05,43,0.46950609878024396,1.015725383391252
0.05,44,0.45190961807638474,1.0265977653855554
0.05,45,0.46610677864427114,1.0208533923324281
0.05,46,0.45550889822035595,1.024780498813678
0.05,47,0.46330733853229356,1.0191255260755854
0.05,48,0.46030793841231754,1.021017106594322
0.05,49,0.4849030193961208,1.0061603386439566
0.05,50,0.5046990601879624,0.9978971888571488
0.8,3,0.8644271145770845,0.39372857429582053
0.8,4,0.8888222355528894,0.3548473898803386
0.8,5,0.6776644671065787,0.6807568594520691
0.8,6,0.5504899020195961,0.8622297019584835
0.8,7,0.5590881823635273,0.8538485419466165
0.8,8,0.6040791841631674,0.7915783488095793
0.8,9,0.633873225354929,0.7577864987262608
0.8,10,0.5866826634673066,0.8345152098710958
0.8,11,0.5924815036992601,0.8310638948088523
0.8,12,0.5762847430513898,0.8727959766889503
0.8,13,0.5600879824035193,0.9069990657173075
0.8,14,0.5116976604679064,0.9803030412612846
0.8,15,0.5306938612277544,0.9555186627082585
0.8,16,0.5228954209158169,0.9706258425710046
0.8,17,0.4963007398520296,1.0045382872742834
0.8,18,0.5196960607878425,0.9794709612489854
0.8,19,0.5476904619076185,0.9501896357808225
0.8,20,0.46130773845230955,1.041753682084792
0.8,21,0.44631073785242953,1.0551796732168925
0.8,22,0.41291741651669667,1.0885804427599846
0.8,23,0.41151769646070785,1.0857439038561671
0.8,24,0.39112177564487105,1.1087321305151696
0.8,25,0.39632073585282945,1.097340957217653
0.8,26,0.38292341531693663,1.1113026303108757
0.8,27,0.3573285342931414,1.1336027268153186
0.8,28,0.3767246550689862,1.1089406147208132
