alpha,k,pval,fold_change
0.05,3,0.5277723829869878,0.9337618312919204
0.05,4,0.7101055221078526,0.5434282121951027
0.05,5,0.8452450313976824,0.3030148765031997
0.05,6,0.5933514598303877,0.7729051501476468
0.05,7,0.6991972551304461,0.5430091162637504
0.05,8,0.6857965948080533,0.5388208870777847
0.05,9,0.7645497507606654,0.3780812584359428
0.05,10,0.7152845212662653,0.4279900839024312
0.05,11,0.7727066744351654,0.29566118587632484
0.05,12,0.8002848449537127,0.23349294920892674
0.05,13,0.8105781057810578,0.20863744450914853
0.05,14,0.8380591700653849,0.17657006299641256
0.05,15,0.8537580112643232,0.16269037912027798
0.05,16,0.8746358516216741,0.14392821441609102
0.05,17,0.8645691720075096,0.15771382821275376
0.05,18,0.8756716514533567,0.14148898596705625
0.05,19,0.883213568977795,0.1382151263578741
0.05,20,0.8680973651841781,0.16966126199620396
0.05,21,0.7862044409917783,0.35770909965829295
0.05,22,0.7998964200168317,0.3475670743749645
0.05,23,0.7614099825208779,0.518282300580542
0.05,24,0.7540299087201399,0.5509945412139369
0.05,25,0.76228393862886,0.5500710467747925
0.05,26,0.7756198614617725,0.5371133123463463
0.05,27,0.7052502103968408,0.7902264248297249
0.05,28,0.7078720787207872,0.7894978212967192
0.05,29,0.723376707451285,0.7724283333023565
0.05,30,0.7379102738395805,0.7560128386739744
0.05,31,0.7525733152068362,0.7412273115896209
0.05,32,0.7655208131028679,0.7258431260183984
0.05,33,0.7630607885026218,0.7370536500724674
0.05,34,0.7648410694633262,0.7385672260811235
0.05,35,0.7779504110830582,0.7253875329200704
0.05,36,0.7693079562374571,0.7442208719148358
0.05,37,0.7783388360199391,0.736240211037877
0.05,38,0.7694050624716774,0.7485589249318363
0.05,39,0.7349970868129734,0.7829957260421864
0.05,40,0.7498543406486696,0.7689240723144402
0.05,41,0.7652294944002072,0.7570483789759397
0.05,42,0.7749077490774908,0.7473163236512993
0.05,43,0.7898297404026672,0.733892447097099
0.05,44,0.7989900951641096,0.7244299402548839
0.05,45,0.8109665307179388,0.7133204595694949
0.05,46,0.7796335858095423,0.7441932970687952
0.05,47,0.7931313523661553,0.7334617782225549
0.05,48,0.7870136596102804,0.7399562185763807
0.05,49,0.7965948080533437,0.7332053714922349
0.05,50,0.7935845147925163,0.7374576007974731
0.8,3,0.260665501391856,1.2419122752041358
0.8,4,0.22460671975140803,1.2815968869420091
0.8,5,0.13015472259985758,1.523815219889432
0.8,6,0.1831099889946268,1.383716762422242
0.8,7,0.14527092639347447,1.5302254782775861
0.8,8,0.1730756781252023,1.4532071096134003
0.8,9,0.21178869683433676,1.3688539751585915
0.8,10,0.19288534990613063,1.4344489545518686
0.8,11,0.1730756781252023,1.5185612609446315
0.8,12,0.16265294231889688,1.5714214934161992
0.8,13,0.17945232083899787,1.5194940348855837
0.8,14,0.1807794393733411,1.5289620694057786
0.8,15,0.18259208907878552,1.5265273529884584
0.8,16,0.18427526380526962,1.526647153436039
0.8,17,0.17304330938046222,1.5767485141626838
0.8,18,0.1779957273256943,1.5627786545602118
0.8,19,0.17912863339159707,1.565358732822141
0.8,20,0.17540622774648798,1.5861762130401005
0.8,21,0.16915906001165273,1.619702091960903
0.8,22,0.17482359034116657,1.595563386609628
0.8,23,0.16834984139315076,1.6286630702786777
0.8,24,0.1752443840227876,1.5972284665360978
0.8,25,0.1681556289247103,1.6321059003655478
0.8,26,0.17191040331455945,1.6129337254339577
0.8,27,0.16644008545348613,1.6455278273801552
0.8,28,0.1747912215964265,1.6110249616549959
0.8,29,0.16932090373535313,1.6350793444548573
0.8,30,0.16650482294296629,1.6492827566134005
0.8,31,0.16333268595843853,1.66686906789119
0.8,32,0.15773289311840485,1.699269866450742
0.8,33,0.15556418722081958,1.706628630536327
0.8,34,0.15711788696834336,1.6974813809477478
0.8,35,0.15481970609179777,1.7089318063256824
0.8,36,0.15462549362335729,1.7114595046878605
0.8,37,0.15472259985757753,1.71271244745075
0.8,38,0.15604971839192075,1.706118602381322
0.8,39,0.15310416262057358,1.722564803599642
0.8,40,0.1525862627047323,1.727287705045839
0.8,41,0.1523273127468117,1.7280492913926448
0.8,42,0.15129151291512916,1.737110658324607
0.8,43,0.15265100019421246,1.7268804773372934
0.8,44,0.15239205023629185,1.7269352568183445
0.8,45,0.15750631190522432,1.6975819437644715
0.8,46,0.1596750178028096,1.6875531095941556
0.8,47,0.16207030491357546,1.6730276192462386
0.8,48,0.16006344273969056,1.6807316040700413
0.8,49,0.15838026801320645,1.687934416809217
0.8,50,0.1612287175503334,1.6729605526292455
0.08040707832694997,3,0.6195701430698517,0.8358232201749304
0.08040707832694997,4,0.44270732181006023,1.097905208372504
0.08040707832694997,5,0.5309121512267754,0.945175589812618
0.08040707832694997,6,0.5929954036382469,0.8249420739823258
0.08040707832694997,7,0.553699747523791,0.884388874649765
0.08040707832694997,8,0.44701236486049073,1.145831664302472
0.08040707832694997,9,0.5103256295720852,0.9733939168755973
0.08040707832694997,10,0.5395546060723765,0.8962614533000832
0.08040707832694997,11,0.49236097624134134,1.0229349517583983
0.08040707832694997,12,0.5437301741438467,0.8797999464763442
0.08040707832694997,13,0.5744157441574416,0.7927029748010368
0.08040707832694997,14,0.5972680779439373,0.7358087465965131
0.08040707832694997,15,0.6195701430698517,0.6817552641666731
0.08040707832694997,16,0.6563734058393216,0.6025053902359383
0.08040707832694997,17,0.6451414514145142,0.6094207602738518
0.08040707832694997,18,0.652068362788891,0.5854983160670961
0.08040707832694997,19,0.6712953971644979,0.5464983709931144
0.08040707832694997,20,0.682753932802486,0.524865961289403
0.08040707832694997,21,0.6857642260633132,0.5159937328208497
0.08040707832694997,22,0.7083899786366284,0.4842170343890805
0.08040707832694997,23,0.7043438855441186,0.4925812078399019
0.08040707832694997,24,0.7040525668414579,0.4984772424298571
0.08040707832694997,25,0.7202369392114973,0.47942961293647063
0.08040707832694997,26,0.7193306143587752,0.4840255828749002
0.08040707832694997,27,0.71308344662394,0.5004567240494783
0.08040707832694997,28,0.7102349970868129,0.5146434588097291
0.08040707832694997,29,0.7183919207613129,0.5099588239404111
0.08040707832694997,30,0.722146695151162,0.5088743666051724
0.08040707832694997,31,0.707386547549686,0.5379274267390016
0.08040707832694997,32,0.7075483912733864,0.5420712848530285
0.08040707832694997,33,0.7195895643166959,0.5275747126945002
0.08040707832694997,34,0.715575839968926,0.5389782146145234
0.08040707832694997,35,0.7211108953194795,0.5344067157102727
0.08040707832694997,36,0.7252540946462096,0.5333143829751442
0.08040707832694997,37,0.7297857189098207,0.5343916970842916
0.08040707832694997,38,0.7362270991130964,0.5314784715304006
0.08040707832694997,39,0.7371334239658186,0.5365583099254223
0.08040707832694997,40,0.7425713730821518,0.5366058196935848
0.08040707832694997,41,0.7404997734187868,0.5489282144666368
0.08040707832694997,42,0.7462614099825209,0.5482327332031297
0.08040707832694997,43,0.7539651712306596,0.5450763354405077
0.08040707832694997,44,0.764743963229106,0.5389638810645747
0.08040707832694997,45,0.7640318508448243,0.5492528330893179
0.08040707832694997,46,0.7667184566582508,0.5544197094474836
0.08040707832694997,47,0.7712500809218619,0.5557814893825588
0.08040707832694997,48,0.7647763319738461,0.571296407023774
0.08040707832694997,49,0.7685634751084353,0.5724568996454545
0.08040707832694997,50,0.7615718262445782,0.5888021726792043
0.2327547260789145,3,0.2796659545542824,1.2307839544415182
0.2327547260789145,4,0.15954554282384928,1.5006747886730394
0.2327547260789145,5,0.19168770635074772,1.439848152190689
0.2327547260789145,6,0.19498931831423577,1.4823449963542628
0.2327547260789145,7,0.2511490904382728,1.3586844861063867
0.2327547260789145,8,0.2289765002913187,1.448559131078707
0.2327547260789145,9,0.23101573120994368,1.470757224866107
0.2327547260789145,10,0.23040072505988218,1.5028787631904859
0.2327547260789145,11,0.2451285039166181,1.4681285022534332
0.2327547260789145,12,0.24933644073282837,1.472780690493386
0.2327547260789145,13,0.2547743898491617,1.4688878544473623
0.2327547260789145,14,0.2577199456205088,1.4667759907092368
0.2327547260789145,15,0.24655272868518158,1.511892007069213
0.2327547260789145,16,0.24797695345374507,1.5095187841608841
0.2327547260789145,17,0.24969249692496925,1.502747667871576
0.2327547260789145,18,0.24765326600634427,1.5093858717924042
0.2327547260789145,19,0.27018191234543926,1.441025341172736
0.2327547260789145,20,0.26419369456852465,1.4607450650232792
0.2327547260789145,21,0.265585550592348,1.4557043778753345
0.2327547260789145,22,0.2693726937269373,1.4443699627331887
0.2327547260789145,23,0.25370622127273906,1.493657251563372
0.2327547260789145,24,0.23690684275263804,1.546424528070891
0.2327547260789145,25,0.2531883213568978,1.4905797007951718
0.2327547260789145,26,0.2580760018126497,1.4751778715800463
0.2327547260789145,27,0.2670745128503917,1.4472108663606815
0.2327547260789145,28,0.27490774907749077,1.4170320488201962
0.2327547260789145,29,0.263513950928983,1.4484909124540395
0.2327547260789145,30,0.2405321421635269,1.5172515596297216
0.2327547260789145,31,0.2479122159642649,1.492932494189033
0.2327547260789145,32,0.24260374182689196,1.5092211279844392
0.2327547260789145,33,0.24425454780863598,1.5020575865962784
0.2327547260789145,34,0.24749142228264387,1.492152290869399
0.2327547260789145,35,0.2501780280960704,1.4780994494484858
0.2327547260789145,36,0.24771800349582443,1.482016298348067
0.2327547260789145,37,0.24784747847478475,1.478040587051722
0.2327547260789145,38,0.25127856541723315,1.4675872907276157
0.2327547260789145,39,0.24910985951964784,1.470339664134736
0.2327547260789145,40,0.24878617207224704,1.4683504972874837
0.2327547260789145,41,0.2580436330679096,1.4443446166345144
0.2327547260789145,42,0.24749142228264387,1.4715849952746096
0.2327547260789145,43,0.2465203599404415,1.4720190120557057
0.2327547260789145,44,0.24558166634297923,1.4759627751536508
0.2327547260789145,45,0.25166699035411405,1.456600331030096
0.2327547260789145,46,0.25169935909885416,1.4554707994597977
0.2327547260789145,47,0.24781510973004467,1.4620854058697441
0.2327547260789145,48,0.24826827215640576,1.4571152481718148
0.2327547260789145,49,0.2457435100666796,1.4644538059094538
0.2327547260789145,50,0.23771606137114001,1.4866227959732283
0.05112113091071417,3,0.530782676247815,0.9291627815057227
0.05112113091071417,4,0.7128568654107593,0.547766816103168
0.05112113091071417,5,0.8076972874991908,0.3737444343302486
0.05112113091071417,6,0.5771347187156082,0.8084046716334771
0.05112113091071417,7,0.6943095746746941,0.5568809278793391
0.05112113091071417,8,0.6818476079497637,0.5547083109711841
0.05112113091071417,9,0.7598239140286139,0.3903792326405521
0.05112113091071417,10,0.70903735353143,0.44402320165713516
0.05112113091071417,11,0.7673010940635722,0.3116720279593274
0.05112113091071417,12,0.7770117174855959,0.26847475778529184
0.05112113091071417,13,0.8051725254094646,0.22068445245499083
0.05112113091071417,14,0.8335275458017738,0.18388615493958485
0.05112113091071417,15,0.8509419304719363,0.16839551126206947
0.05112113091071417,16,0.8722081957661681,0.148791430127008
0.05112113091071417,17,0.8612999287887616,0.16402787175828526
0.05112113091071417,18,0.87292030815045,0.14840229313660336
0.05112113091071417,19,0.8800090632485272,0.14123820925496855
0.05112113091071417,20,0.888522043115168,0.13858154855055482
0.05112113091071417,21,0.8745387453874539,0.17018290738241226
0.05112113091071417,22,0.7906713277659092,0.3519062188659641
0.05112113091071417,23,0.8005437949116333,0.35648543246228886
0.05112113091071417,24,0.7989900951641096,0.39462172089018227
0.05112113091071417,25,0.8108370557389785,0.38625732582973893
0.05112113091071417,26,0.7642260633132647,0.5419837963541024
0.05112113091071417,27,0.7766880300381951,0.5298040328726366
0.05112113091071417,28,0.7807664918754451,0.5382604611779336
0.05112113091071417,29,0.7104292095552535,0.7788819969465256
0.05112113091071417,30,0.7258691007962711,0.7609112132859901
0.05112113091071417,31,0.7399495047582054,0.7459944903025596
0.05112113091071417,32,0.7523143652489156,0.7306089114293527
0.05112113091071417,33,0.7555836084676636,0.7317693431210237
0.05112113091071417,34,0.7690166375347964,0.7189320029382242
0.05112113091071417,35,0.7766880300381951,0.7120222445462461
0.05112113091071417,36,0.774195636693209,0.7235541143474274
0.05112113091071417,37,0.7652942318896874,0.7410915627908441
0.05112113091071417,38,0.7774325111672169,0.7291439950149382
0.05112113091071417,39,0.7700200686217389,0.7416403536009833
0.05112113091071417,40,0.7805399106622645,0.7338133299925043
0.05112113091071417,41,0.7488185408169871,0.7667015260107425
0.05112113091071417,42,0.7640642195895643,0.7527280720894152
0.05112113091071417,43,0.775814073930213,0.7414606252030761
0.05112113091071417,44,0.7863339159707387,0.731439385323781
0.05112113091071417,45,0.7986987764614488,0.720496624585253
0.05112113091071417,46,0.8038130381303813,0.717777192203932
0.05112113091071417,47,0.8113549556548197,0.7117192192896495
0.05112113091071417,48,0.8187673982002978,0.7046909038030538
0.05112113091071417,49,0.8291901340066032,0.6960330791773016
0.05112113091071417,50,0.8332685958438532,0.693141835670204
0.41635425920695357,3,0.26972874991907814,1.2311616934087293
0.41635425920695357,4,0.1336829157765262,1.5263523186277905
0.41635425920695357,5,0.1521654690231113,1.4885126982991446
0.41635425920695357,6,0.21424872143458276,1.344241726444302
0.41635425920695357,7,0.17708940247297209,1.4792112895700078
0.41635425920695357,8,0.16776720398782935,1.5418548460594883
0.41635425920695357,9,0.15931896161066875,1.6063962695018978
