alpha,k,pval,fold_change
0.5956109326413805,30,0.063,1.061955336774963
0.628251536863383,30,0.063,1.074835060990482
0.6117361522121437,30,0.063,1.0748350609904818
0.6556319915685862,30,0.064,1.0897349068196163
0.5873391815818463,30,0.064,1.061955336774963
0.5313638175057643,30,0.067,1.0522567226887343
0.5353462654773692,30,0.067,1.0522567226887343
0.5068656504930182,30,0.068,1.0522567226887343
0.4235446356614381,30,0.068,1.0522567226887343
0.582548261581454,32,0.069,1.050631718253701
0.5606437296330797,32,0.07,1.0479093490018512
0.5846339845618034,31,0.08,1.0575288101139093
0.6204719791202784,29,0.081,1.0758841979337928
0.5366548042033852,31,0.082,1.0527552164675766
0.5294846020223505,31,0.082,1.0527552164675766
0.49932411480091715,31,0.083,1.050852476834108
0.36461979970231273,31,0.084,1.0480241888015633
0.3692582244029114,31,0.084,1.0485037829735289
0.7643828113283146,47,0.087,1.5512190409416309
0.551195054925567,29,0.087,1.054544513557045
0.5178841943296928,33,0.088,1.0468409897189475
0.49063393703960123,29,0.089,1.0545344858443604
0.430918670559452,29,0.09,1.049227871200216
0.4971955627537209,29,0.09,1.054544513557045
0.6490358691922621,51,0.095,1.2425850064975144
0.3490002537658229,33,0.099,1.0448266228166758
0.6352673356084078,46,0.104,1.1463011563034717
0.5342316913006123,34,0.107,1.045127546802338
0.9447068724748997,34,0.108,1.5770543994982784
0.3068123158892189,33,0.108,1.0448266228166765
0.512656086021888,34,0.108,1.0414819583986243
0.5984367958542792,48,0.126,1.1275273683265739
0.6058001637975043,48,0.126,1.1275273683265739
0.7317164437246169,52,0.132,1.5266030646093707
0.2630842833405969,48,0.134,1.0275574476034952
0.6575386805183436,35,0.135,1.130133643849242
0.6592471749383529,28,0.138,1.0850400607058417
0.806346762869617,38,0.141,1.5491275435448941
0.6961825999777552,74,0.143,1.5874938455858196
0.6376885730893967,28,0.143,1.0796031402213069
0.7790425637052041,27,0.146,1.276380959327341
0.1956032452460561,33,0.147,1.0364968941258679
0.8713623078225572,70,0.151,1.6475560952862025
0.7343110570713455,61,0.154,1.6278643313033252
0.5717700877376942,27,0.157,1.0487824069829215
0.676880622192498,36,0.161,1.1808596218327447
0.6655252545871211,36,0.162,1.1511946369388173
0.7512072682514914,54,0.163,1.6368923753574267
0.3428287008111952,66,0.163,1.0194553394936827
0.6863174980072334,44,0.165,1.3149939529881858
0.6926752122208776,44,0.165,1.3190910482408593
0.49116825512639584,35,0.169,1.0375622280032992
0.4802016411465079,40,0.175,1.0328162742998241
0.5431182086798261,44,0.178,1.0371372918613733
0.3533541681527894,28,0.178,1.0477221476298013
0.39085827583637767,38,0.178,1.0315357444997184
0.6536521884619757,37,0.184,1.114490982323617
0.6217083750569617,39,0.187,1.0994252019528707
0.5997889001376592,37,0.188,1.0661694087250975
0.6021302760757299,41,0.189,1.0857744780565535
0.4809274256684774,42,0.191,1.032378796402686
0.6407821863304024,58,0.194,1.2531465045170385
0.44317731761934187,42,0.196,1.0292182804390113
0.5679097276861402,58,0.203,1.1026691743658557
0.45831247706026196,54,0.203,1.0253318589223195
0.6046044737437096,21,0.22,1.0640481203336283
0.6358403463332212,38,0.228,1.1283239821858095
0.3971301013055377,40,0.23,1.0292515585591522
0.7154027487240384,26,0.23,1.1259547422092953
0.12771148213604505,12,0.239,1.1218166230901068
0.5728302697130592,24,0.241,1.0549709028624716
0.39563283524234216,26,0.253,1.043049614075816
0.41534784932293384,77,0.267,1.0149265709281747
0.5681447740654695,25,0.269,1.0445565246286443
0.417150565298002,25,0.277,1.04322870751243
0.6187937266184107,23,0.283,1.0596870910767267
0.583005418318403,22,0.296,1.0540612243280878
0.8145817369299158,25,0.298,1.2840587993796668
0.5561900366852297,22,0.298,1.0461114227326944
0.4514237780870419,23,0.299,1.0400531250614486
0.4656695889232183,23,0.299,1.0400531250614486
0.011291863286409187,32,0.309,1.009093329860681
0.5877426102120463,20,0.324,1.0542909097756403
0.4662749917315901,20,0.33,1.0440692180437923
0.17051089570097466,20,0.335,1.0541826919117692
0.24959844918097954,80,0.354,1.0086076369313723
0.35058206194326125,19,0.359,1.0438254503644424
0.23046736279408592,88,0.368,1.0066122735281708
0.9258211756085188,14,0.371,1.395292402451891
0.7128797494402843,17,0.371,1.0931676894270024
0.5511925001775949,83,0.379,1.1492795362663357
0.532555570653701,17,0.384,1.0551994876813464
0.5081583660717326,16,0.417,1.0562702204851715
0.29186637743912486,99,0.44,1.0050969520943756
0.43212572704692925,7,0.444,1.1579233603104029
0.5165808625113151,11,0.457,1.0786098247528995
0.9074302910580395,5,0.491,1.132165392031725
0.10511021873817776,20,0.531,0.9972055195574825
0.01762281704383107,78,0.777,0.9972570023723732
0.0739722860980304,29,0.888,0.9569375258308747
