size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0003189167624610926,0.7292707292707292,0.29971492820148243
3,0.0006489734164998097,0.8131868131868132,0.17134911048824267
4,0.0006511117244793655,0.8681318681318682,0.17551133445824368
5,0.010217975885194035,0.0899100899100899,3.1481749834874173
6,0.007343025660672551,0.11888111888111888,2.585754128994141
7,0.006097508318419232,0.13086913086913088,2.3486070639299657
8,0.00506229108708534,0.13986013986013987,2.1058729390489694
9,0.0042743438143704,0.14785214785214784,1.9976533007840083
10,0.003654639237110728,0.16783216783216784,1.8974402374621102
11,0.003182068528291687,0.1918081918081918,1.7264567268758604
12,0.0028560527761229124,0.1928071928071928,1.6716190518079923
13,0.002614131792597177,0.17582417582417584,1.438188849295496
14,0.002361628616191285,0.18181818181818182,1.4029848810271044
15,0.0021431221469699595,0.19080919080919082,1.3579474080721983
16,0.0019564618629039202,0.1938061938061938,1.3082785031742818
17,0.001797516763643556,0.1978021978021978,1.2785822321636369
18,0.0016581880955467022,0.21178821178821178,1.21170935435864
19,0.001536794216454952,0.24075924075924077,1.1906080376754162
20,0.0014299089867796748,0.25374625374625376,1.17995237274174
21,0.0013354319530649377,0.25674325674325676,1.1699637217346814
22,0.0012497138270343947,0.2707292707292707,1.1521677733859588
23,0.0011731983825411082,0.27972027972027974,1.140803599860186
24,0.0011047514914400065,0.2837162837162837,1.0969315962422526
25,0.0010425070923428662,0.2997002997002997,1.0778646705447854
26,0.0009854581639257528,0.31368631368631367,1.066387869734418
27,0.0009338508009094414,0.32667332667332666,1.0550186913686799
28,0.0008869623412385987,0.34465534465534464,1.0447849922868506
29,0.0008440507635991899,0.37462537462537465,1.0345613953081392
30,0.000804521358108946,0.38461538461538464,1.0340882052264626
