size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001859573562098052,0.6633663366336634,0.8888357384438178
3,0.00018677775081617733,0.6138613861386139,0.8813776000200766
4,0.00018873197232781302,0.5742574257425742,0.8970626799074632
5,0.00015859554263649822,0.6633663366336634,0.7504391700851777
6,0.00014043657824841022,0.801980198019802,0.6439269408488776
7,0.0001232134312698132,0.8910891089108911,0.39707972809447595
8,0.00011078428900208667,0.9108910891089109,0.23514133220595546
9,0.00010109736543350365,0.9306930693069307,0.18380501805097005
10,0.00018986056021334395,0.7029702970297029,0.3400244525771446
