size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001993284699748872,0.4585082983403319,1.0347181250437294
3,0.0002456799337604994,0.2923415316936613,1.348498144500911
4,0.00022822483017903865,0.3827234553089382,1.2708722380113546
5,0.00019294358208737377,0.48570285942811436,1.0442505545456469
6,0.0001658293728676303,0.7914417116576684,0.7827079271024325
7,0.00014456285081013606,0.8502299540091982,0.46588246833699387
8,0.0004174916462285144,0.7118576284743051,0.886132345690112
9,0.00047864792597619537,0.7170565886822635,0.8536289584284795
10,0.0006352628000059505,0.46290741851629674,1.1377027728767124
11,0.0005887222531418978,0.4877024595080984,1.0536401363943866
12,0.0005441736422780948,0.7450509898020395,0.9034299094656766
13,0.0005448367099774582,0.7510497900419916,0.8930496692296762
14,0.0005266014540164909,0.7654469106178764,0.8519506828090985
15,0.0005176176632955957,0.7694461107778444,0.8569551599016859
16,0.0005079613257556222,0.7756448710257948,0.860473180490346
17,0.0005034224754692081,0.7774445110977805,0.8643391214756897
18,0.0004961813197957774,0.7822435512897421,0.8655337541466074
19,0.0005404881651949181,0.5242951409718056,0.9549006460495215
20,0.0005342315486891771,0.5240951809638073,0.9552805078730847
21,0.0005284764065637623,0.5190961807638472,0.9636562121874247
22,0.0005174843198510927,0.5232953409318136,0.9639281291057235
23,0.0005099352545958172,0.5248950209958009,0.9636741130248749
24,0.0005015220090771096,0.5270945810837833,0.9635819182271795
25,0.0004943466690419164,0.5260947810437913,0.962647773793089
26,0.00047954177859680156,0.5340931813637273,0.9474502662667156
27,0.00046531901998238056,0.5382923415316937,0.9346574242182697
28,0.00045025869562617606,0.5462907418516296,0.9248258456182469
29,0.0004342036824124689,0.553489302139572,0.9118165454071153
30,0.00041865212211869806,0.5568886222755449,0.9035921708237981
