alpha,k,pval,fold_change
0.1,3,0.5434565434565435,0.8943078344896116
0.1,4,0.6383616383616384,0.790883637730762
0.1,5,0.7502497502497503,0.6729111906306389
0.1,6,0.7362637362637363,0.7099211608934121
0.1,7,0.6883116883116883,0.7852665417251666
0.1,8,0.6753246753246753,0.8190883477970188
0.1,9,0.6443556443556444,0.8641828964268156
0.1,10,0.5874125874125874,0.9174820060476319
0.1,11,0.6133866133866134,0.9049390046999686
0.1,12,0.5484515484515484,0.9472792973980754
0.1,13,0.5674325674325674,0.9320480189094481
0.1,14,0.6063936063936064,0.902279794660548
0.1,15,0.6053946053946054,0.9208702896506362
0.1,16,0.45054945054945056,1.0635757845376477
0.1,17,0.45454545454545453,1.0508196044410822
0.1,18,0.44555444555444557,1.060459620129659
0.1,19,0.4245754245754246,1.0707935364593446
0.1,20,0.43456543456543456,1.0510138900945465
0.1,21,0.37962037962037964,1.1089978375115845
0.1,22,0.2807192807192807,1.2252312915491623
0.1,23,0.2937062937062937,1.1865186144847988
0.1,24,0.2967032967032967,1.1755920049478938
0.1,25,0.34165834165834164,1.1302185141847911
0.1,26,0.32667332667332666,1.1413556462816248
0.1,27,0.3166833166833167,1.141680328132864
0.1,28,0.2897102897102897,1.1597075888606256
0.1,29,0.32867132867132864,1.1215860623014327
0.1,30,0.30569430569430567,1.128031038067024
0.1,31,0.3306693306693307,1.0983807568591217
0.1,32,0.31368631368631367,1.1125217538433854
0.1,33,0.2997002997002997,1.1259699445085436
0.1,34,0.2967032967032967,1.1210688123057455
0.1,35,0.2787212787212787,1.1411117341512436
0.1,36,0.25274725274725274,1.1528266965514273
0.1,37,0.21578421578421578,1.179194332399901
0.1,38,0.24775224775224775,1.15010908321587
0.1,39,0.2627372627372627,1.128918147941872
0.1,40,0.2647352647352647,1.1209939259816717
0.1,41,0.24375624375624375,1.1320813942801586
0.1,42,0.25574425574425574,1.1193134429149583
0.1,43,0.26373626373626374,1.1164701247705975
0.1,44,0.2787212787212787,1.106804405139839
0.1,45,0.2867132867132867,1.0958724169923342
0.1,46,0.2817182817182817,1.1035559144199683
0.1,47,0.2757242757242757,1.0952231685869975
0.1,48,0.3166833166833167,1.0806413909446237
0.1,49,0.2997002997002997,1.093142733135877
0.1,50,0.3246753246753247,1.0802967486384438
0.95,3,0.8591408591408591,0.4635873266602236
0.95,4,0.35364635364635366,1.1555296868194682
0.95,5,0.36563436563436563,1.1258913784862017
0.95,6,0.11588411588411589,1.469475352381092
0.95,7,0.10989010989010989,1.4452441852412201
0.95,8,0.0999000999000999,1.443225139638619
0.95,9,0.13886113886113885,1.3586670824973344
0.95,10,0.07292707292707293,1.5745708536012404
0.95,11,0.058941058941058944,1.7109991866725598
0.95,12,0.08291708291708291,1.5527261450832024
0.95,13,0.0989010989010989,1.4273181940861228
0.95,14,0.056943056943056944,1.6850358086147694
0.95,15,0.06493506493506493,1.5917462586412112
0.95,16,0.06793206793206794,1.5617957074982969
0.95,17,0.07592407592407592,1.4909961569593442
0.95,18,0.061938061938061936,1.57957326108519
0.95,19,0.04995004995004995,1.6153556291032225
0.95,20,0.06693306693306693,1.4878668736890517
0.95,21,0.07092907092907093,1.4886914894288952
0.95,22,0.06993006993006994,1.4735979459244242
0.95,23,0.0969030969030969,1.3708495783235601
0.95,24,0.08291708291708291,1.4139667678453878
0.95,25,0.1018981018981019,1.35175553078236
0.95,26,0.0919080919080919,1.3659365736186506
0.95,27,0.1088911088911089,1.3196091049997631
0.95,28,0.10989010989010989,1.3260584911047646
0.95,29,0.12687312687312688,1.277967205356938
0.95,30,0.10789210789210789,1.321952234902613
0.95,31,0.1068931068931069,1.3264979970816835
0.95,32,0.11188811188811189,1.3022079261820938
0.95,33,0.13186813186813187,1.2584472338063475
0.95,34,0.12987012987012986,1.2569231474316085
0.95,35,0.11688311688311688,1.2857746728163804
0.95,36,0.12187812187812187,1.273597805359676
0.95,37,0.0919080919080919,1.342301407098334
0.95,38,0.0969030969030969,1.3273729658193598
0.95,39,0.1018981018981019,1.296043910328108
0.95,40,0.10989010989010989,1.2910636474609167
0.95,41,0.0999000999000999,1.3101666992851932
0.95,42,0.0899100899100899,1.3266314891118332
0.95,43,0.07992007992007992,1.350255339328152
0.95,44,0.061938061938061936,1.390827681981969
0.95,45,0.06493506493506493,1.3996994778709502
0.95,46,0.06893106893106893,1.378131644268715
0.95,47,0.06493506493506493,1.3941121428437862
0.95,48,0.061938061938061936,1.3941002487850427
0.95,49,0.06693306693306693,1.3680085979328236
0.95,50,0.07592407592407592,1.3410431446908162
0.3791701260110827,3,0.6073926073926074,0.7960157364394964
0.3791701260110827,4,0.44955044955044954,1.088760813059272
0.3791701260110827,5,0.6013986013986014,0.8469359482471444
0.3791701260110827,6,0.5754245754245755,0.8965218469819979
0.3791701260110827,7,0.6013986013986014,0.866113284201115
0.3791701260110827,8,0.6633366633366633,0.8196876893367222
0.3791701260110827,9,0.7352647352647352,0.7713529029550549
0.3791701260110827,10,0.8131868131868132,0.6977101697470537
0.3791701260110827,11,0.8291708291708292,0.6902937655760107
0.3791701260110827,12,0.8491508491508492,0.6748814949387943
0.3791701260110827,13,0.8311688311688312,0.7023461973998811
0.3791701260110827,14,0.7972027972027972,0.7666640636674504
0.3791701260110827,15,0.7622377622377622,0.7902899761055351
0.3791701260110827,16,0.7242757242757243,0.8170224573380712
0.3791701260110827,17,0.6833166833166833,0.8544426149416392
0.3791701260110827,18,0.5974025974025974,0.9157716978584304
0.3791701260110827,19,0.5764235764235764,0.9298806118648815
0.3791701260110827,20,0.5834165834165834,0.9303114953502575
0.3791701260110827,21,0.5824175824175825,0.9293510995580769
0.3791701260110827,22,0.5224775224775224,0.9819284770272412
0.3791701260110827,23,0.5094905094905094,0.9891730195704528
