size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00016428349060658009,0.7782217782217782,0.7964433256224298
3,0.00017390853707668162,0.6513486513486514,0.8632422350119863
4,0.0001636806730023842,0.6593406593406593,0.8084513002127222
5,0.00014834426228435975,0.7062937062937062,0.740068541810843
6,0.00013687666282967997,0.8361638361638362,0.603418031774689
7,0.00013117155172394064,0.8521478521478522,0.4227263501672613
8,0.0001845266918598798,0.7222777222777222,0.3916606997466284
9,0.00022137856783410116,0.7112887112887113,0.39481035229224115
10,0.0002337888721581468,0.7352647352647352,0.4186964011107708
11,0.0002578187601548247,0.7372627372627373,0.47887195011059575
12,0.0002421462755799506,0.7572427572427572,0.436065424445842
13,0.00023420131236338528,0.7792207792207793,0.40439483354876854
14,0.00022492469167438467,0.7982017982017982,0.3787803986925256
15,0.00021348448428428518,0.8151848151848152,0.3598865683246088
16,0.00020378569553000455,0.8321678321678322,0.3474747371656341
17,0.0001972111355156537,0.8411588411588412,0.34564050373306643
18,0.00018777141356725194,0.8601398601398601,0.3345163871154403
19,0.0001784717070139988,0.8791208791208791,0.3220574979711977
20,0.0001744250360801934,0.8951048951048951,0.32016876257778115
21,0.0001643550404648947,0.9230769230769231,0.30919098484722046
22,0.00015558632681334235,0.936063936063936,0.2955252968306232
23,0.00015753200111922615,0.9410589410589411,0.3053778167575227
24,0.00015952920542321682,0.9440559440559441,0.3143443475679772
25,0.0001634000716710189,0.9460539460539461,0.3264212174135751
26,0.00016847346792926948,0.9440559440559441,0.34501680997651757
27,0.00017368154223518754,0.945054945054945,0.36359871779312625
28,0.00017948884467100504,0.9440559440559441,0.3842739471855128
29,0.00018508209794923112,0.945054945054945,0.4080821379069628
30,0.00020827248676857381,0.9210789210789211,0.47423962281874843
