size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00016428349060658009,0.7642357642357642,0.7908624559871068
3,0.00017390853707668162,0.6553446553446554,0.8309985542699417
4,0.0001636806730023842,0.6703296703296703,0.8067874285502152
5,0.00014834426228435975,0.7262737262737263,0.6842336944353825
6,0.00013687666282967997,0.8391608391608392,0.5366961361856354
7,0.00013117155172394064,0.8651348651348651,0.4227263501672613
8,0.0001845266918598798,0.7242757242757243,0.3916606997466284
9,0.00022137856783410116,0.7072927072927073,0.39481035229224115
10,0.0002337888721581468,0.7302697302697303,0.4186964011107708
11,0.0002578187601548247,0.7262737262737263,0.45523651926232384
12,0.0002421462755799506,0.7492507492507493,0.4107513915363787
13,0.00023420131236338528,0.7602397602397603,0.38289281668180675
14,0.00022492469167438467,0.7742257742257742,0.3662885451814594
15,0.00021348448428428518,0.7912087912087912,0.3565303861001339
16,0.00020378569553000455,0.8201798201798202,0.3432186390751021
17,0.0001972111355156537,0.8311688311688312,0.33833681912477603
18,0.00018777141356725194,0.8581418581418582,0.3271039109030541
19,0.0001784717070139988,0.8811188811188811,0.31498927182486686
20,0.0001744250360801934,0.8921078921078921,0.3125412291972634
21,0.0001643550404648947,0.913086913086913,0.3002100047695195
22,0.00015558632681334235,0.932067932067932,0.2918592634533164
23,0.00015753200111922615,0.935064935064935,0.30037294013411675
24,0.00015952920542321682,0.9410589410589411,0.3110835498885793
25,0.0001634000716710189,0.9410589410589411,0.32689457411220096
26,0.00016847346792926948,0.938061938061938,0.34482661348714727
27,0.00017368154223518754,0.938061938061938,0.36374232435158194
28,0.00017948884467100504,0.939060939060939,0.3866787955167817
29,0.00018508209794923112,0.938061938061938,0.4118362781650306
30,0.00020827248676857381,0.9230769230769231,0.4811418309842038
