size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0003189167624610926,0.6403596403596403,0.39722047338297517
3,0.0006489734164998097,0.6953046953046953,0.20796774454667133
4,0.0006511117244793655,0.7562437562437563,0.20493373576648272
5,0.010217975885194035,0.06993006993006994,3.4366069621951896
6,0.007343025660672551,0.08791208791208792,2.7118598065943
7,0.006097508318419232,0.11288711288711288,2.523980914428679
8,0.00506229108708534,0.12087912087912088,2.266123916646661
9,0.0042743438143704,0.12887112887112886,2.074225400766824
10,0.003654639237110728,0.13986013986013987,2.0063646639964556
11,0.003182068528291687,0.15984015984015984,1.873013713683837
12,0.0028560527761229124,0.16083916083916083,1.816112203540194
13,0.002614131792597177,0.16183816183816183,1.2856523415219063
14,0.002361628616191285,0.16683316683316685,1.2203852891170088
15,0.0021431221469699595,0.17882117882117882,1.141207043340538
16,0.0019564618629039202,0.18681318681318682,1.1109593137977232
17,0.001797516763643556,0.1928071928071928,1.0876981031053379
18,0.0016581880955467022,0.2007992007992008,1.0814191716477797
19,0.001536794216454952,0.23776223776223776,1.045305694065578
20,0.0014299089867796748,0.25874125874125875,1.0487805616696613
21,0.0013354319530649377,0.26573426573426573,1.0540501005306393
22,0.0012497138270343947,0.2827172827172827,1.0600084864812096
23,0.0011731983825411082,0.2897102897102897,1.067219362898124
24,0.0011047514914400065,0.2947052947052947,1.073246051753835
25,0.0010425070923428662,0.3106893106893107,1.0547369233793606
26,0.0009854581639257528,0.3276723276723277,1.0417154766503134
27,0.0009338508009094414,0.3386613386613387,1.03821214866168
28,0.0008869623412385987,0.36663336663336665,1.036011704917454
29,0.0008440507635991899,0.38161838161838163,1.0345613953081392
30,0.000804521358108946,0.3916083916083916,1.0340882052264626
