size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00360310192983748,0.07892107892107893,3.6698190795978096
3,0.007770341214949084,0.2517482517482518,2.046685076292551
4,0.005745264211364644,0.3386613386613387,1.4964848987143948
5,0.004141399600234158,0.4015984015984016,1.1390875132640894
6,0.003641336606781495,0.4085914085914086,1.1249024180983613
7,0.0029283908372816506,0.4785214785214785,1.0267800647615122
8,0.002445865381891145,0.5204795204795205,0.9608647773306891
9,0.0020780795071299344,0.5874125874125874,0.8927542247622618
10,0.0017826992870667918,0.6323676323676324,0.8324327630562657
11,0.0015547967775073211,0.6963036963036963,0.7853452332570084
12,0.001513766986727899,0.6463536463536463,0.8185456652695666
13,0.0013926784518528453,0.6923076923076923,0.7655706204037714
14,0.0012781873799692716,0.6983016983016983,0.7628144133534976
15,0.0012474477817160426,0.6703296703296703,0.7887614045565192
16,0.0012576399565052546,0.6493506493506493,0.8282650187930647
17,0.0011646069128767372,0.6603396603396603,0.802906336903739
18,0.001080734465743893,0.6693306693306693,0.7875696133058513
19,0.0010045804917748348,0.6853146853146853,0.7765712326034435
20,0.0009350989496744362,0.6893106893106893,0.7607545562593405
21,0.0008736596778993526,0.6993006993006993,0.7520916294910005
22,0.0008190665709938032,0.7082917082917083,0.7413309512198901
23,0.0007704891162935001,0.7162837162837162,0.7415288782165274
24,0.0007271012965771407,0.7272727272727273,0.7152645513104455
25,0.0006879944602338555,0.7372627372627373,0.7082938423668357
26,0.0006527801367704048,0.7672327672327672,0.704196114899312
27,0.0006207735534830483,0.7862137862137862,0.690147338489546
28,0.0005968034494993079,0.7912087912087912,0.6970931351527022
29,0.0006114194681728026,0.7762237762237763,0.749422908420934
30,0.0005981378637217977,0.7662337662337663,0.7648502305665029
